
Begin Step 0, Time: 0.0909091, Redshift: 10, Systemstep: 0, Dloga: 0

Begin Step 1, Time: 0.0926282, Redshift: 9.79585, Systemstep: 0.0017191, Dloga: 0.0187336

Begin Step 2, Time: 0.0943798, Redshift: 9.59549, Systemstep: 0.00175161, Dloga: 0.0187336

Begin Step 3, Time: 0.0961645, Redshift: 9.39884, Systemstep: 0.00178473, Dloga: 0.0187336

Begin Step 4, Time: 0.097983, Redshift: 9.20585, Systemstep: 0.00181848, Dloga: 0.0187336

Begin Step 5, Time: 0.0998359, Redshift: 9.01644, Systemstep: 0.00185287, Dloga: 0.0187336

Begin Step 6, Time: 0.101724, Redshift: 8.83054, Systemstep: 0.00188791, Dloga: 0.0187336

Begin Step 7, Time: 0.103647, Redshift: 8.64809, Systemstep: 0.00192361, Dloga: 0.0187336

Begin Step 8, Time: 0.105607, Redshift: 8.46903, Systemstep: 0.00195999, Dloga: 0.0187336

Begin Step 9, Time: 0.107604, Redshift: 8.2933, Systemstep: 0.00199705, Dloga: 0.0187336

Begin Step 10, Time: 0.109639, Redshift: 8.12082, Systemstep: 0.00203481, Dloga: 0.0187336

Begin Step 11, Time: 0.111713, Redshift: 7.95155, Systemstep: 0.00207329, Dloga: 0.0187336

Begin Step 12, Time: 0.113825, Redshift: 7.78541, Systemstep: 0.0021125, Dloga: 0.0187336

Begin Step 13, Time: 0.115978, Redshift: 7.62236, Systemstep: 0.00215245, Dloga: 0.0187336

Begin Step 14, Time: 0.118171, Redshift: 7.46234, Systemstep: 0.00219315, Dloga: 0.0187336

Begin Step 15, Time: 0.120405, Redshift: 7.30528, Systemstep: 0.00223462, Dloga: 0.0187336

Begin Step 16, Time: 0.122682, Redshift: 7.15114, Systemstep: 0.00227688, Dloga: 0.0187336

Begin Step 17, Time: 0.125002, Redshift: 6.99987, Systemstep: 0.00231994, Dloga: 0.0187336

Begin Step 18, Time: 0.127366, Redshift: 6.8514, Systemstep: 0.00236381, Dloga: 0.0187336

Begin Step 19, Time: 0.129774, Redshift: 6.70568, Systemstep: 0.00240851, Dloga: 0.0187336

Begin Step 20, Time: 0.132228, Redshift: 6.56267, Systemstep: 0.00245405, Dloga: 0.0187336

Begin Step 21, Time: 0.134729, Redshift: 6.42231, Systemstep: 0.00250046, Dloga: 0.0187336

Begin Step 22, Time: 0.137277, Redshift: 6.28456, Systemstep: 0.00254774, Dloga: 0.0187336

Begin Step 23, Time: 0.139873, Redshift: 6.14936, Systemstep: 0.00259592, Dloga: 0.0187336

Begin Step 24, Time: 0.142518, Redshift: 6.01668, Systemstep: 0.00264501, Dloga: 0.0187336

Begin Step 25, Time: 0.145213, Redshift: 5.88645, Systemstep: 0.00269503, Dloga: 0.0187336

Begin Step 26, Time: 0.147959, Redshift: 5.75865, Systemstep: 0.00274599, Dloga: 0.0187336

Begin Step 27, Time: 0.150757, Redshift: 5.63321, Systemstep: 0.00279792, Dloga: 0.0187336

Begin Step 28, Time: 0.153607, Redshift: 5.51011, Systemstep: 0.00285083, Dloga: 0.0187336

Begin Step 29, Time: 0.156512, Redshift: 5.38928, Systemstep: 0.00290473, Dloga: 0.0187336

Begin Step 30, Time: 0.159472, Redshift: 5.2707, Systemstep: 0.00295966, Dloga: 0.0187336

Begin Step 31, Time: 0.162487, Redshift: 5.15432, Systemstep: 0.00301563, Dloga: 0.0187336

Begin Step 32, Time: 0.16556, Redshift: 5.04011, Systemstep: 0.00307266, Dloga: 0.0187336

Begin Step 33, Time: 0.168691, Redshift: 4.92801, Systemstep: 0.00313076, Dloga: 0.0187336

Begin Step 34, Time: 0.171881, Redshift: 4.81799, Systemstep: 0.00318996, Dloga: 0.0187336

Begin Step 35, Time: 0.175131, Redshift: 4.71001, Systemstep: 0.00325029, Dloga: 0.0187336

Begin Step 36, Time: 0.178443, Redshift: 4.60404, Systemstep: 0.00331175, Dloga: 0.0187336

Begin Step 37, Time: 0.181817, Redshift: 4.50003, Systemstep: 0.00337438, Dloga: 0.0187336

Begin Step 38, Time: 0.185255, Redshift: 4.39795, Systemstep: 0.00343819, Dloga: 0.0187336

Begin Step 39, Time: 0.188759, Redshift: 4.29777, Systemstep: 0.0035032, Dloga: 0.0187336

Begin Step 40, Time: 0.192328, Redshift: 4.19945, Systemstep: 0.00356945, Dloga: 0.0187336

Begin Step 41, Time: 0.195965, Redshift: 4.10295, Systemstep: 0.00363695, Dloga: 0.0187336

Begin Step 42, Time: 0.199671, Redshift: 4.00825, Systemstep: 0.00370572, Dloga: 0.0187336

Begin Step 43, Time: 0.203446, Redshift: 3.9153, Systemstep: 0.0037758, Dloga: 0.0187336

Begin Step 44, Time: 0.207294, Redshift: 3.82407, Systemstep: 0.0038472, Dloga: 0.0187336

Begin Step 45, Time: 0.211214, Redshift: 3.73454, Systemstep: 0.00391995, Dloga: 0.0187336

Begin Step 46, Time: 0.215208, Redshift: 3.64667, Systemstep: 0.00399408, Dloga: 0.0187336

Begin Step 47, Time: 0.219277, Redshift: 3.56044, Systemstep: 0.00406961, Dloga: 0.0187336

Begin Step 48, Time: 0.223424, Redshift: 3.4758, Systemstep: 0.00414656, Dloga: 0.0187336

Begin Step 49, Time: 0.227649, Redshift: 3.39273, Systemstep: 0.00422497, Dloga: 0.0187336

Begin Step 50, Time: 0.231954, Redshift: 3.3112, Systemstep: 0.00430487, Dloga: 0.0187336

Begin Step 51, Time: 0.234137, Redshift: 3.27101, Systemstep: 0.00218287, Dloga: 0.00936678

Begin Step 52, Time: 0.23634, Redshift: 3.23119, Systemstep: 0.00220341, Dloga: 0.00936678

Begin Step 53, Time: 0.238564, Redshift: 3.19174, Systemstep: 0.00222414, Dloga: 0.00936678

Begin Step 54, Time: 0.240809, Redshift: 3.15267, Systemstep: 0.00224508, Dloga: 0.00936678

Begin Step 55, Time: 0.243075, Redshift: 3.11395, Systemstep: 0.0022662, Dloga: 0.00936678

Begin Step 56, Time: 0.245363, Redshift: 3.0756, Systemstep: 0.00228753, Dloga: 0.00936678

Begin Step 57, Time: 0.247672, Redshift: 3.0376, Systemstep: 0.00230906, Dloga: 0.00936678

Begin Step 58, Time: 0.250003, Redshift: 2.99996, Systemstep: 0.00233079, Dloga: 0.00936678

Begin Step 59, Time: 0.252356, Redshift: 2.96266, Systemstep: 0.00235272, Dloga: 0.00936678

Begin Step 60, Time: 0.25473, Redshift: 2.92572, Systemstep: 0.00237486, Dloga: 0.00936678

Begin Step 61, Time: 0.257128, Redshift: 2.88912, Systemstep: 0.00239721, Dloga: 0.00936678

Begin Step 62, Time: 0.259547, Redshift: 2.85286, Systemstep: 0.00241977, Dloga: 0.00936678

Begin Step 63, Time: 0.260766, Redshift: 2.83486, Systemstep: 0.00121841, Dloga: 0.00468339

Begin Step 64, Time: 0.26199, Redshift: 2.81694, Systemstep: 0.00122413, Dloga: 0.00468339

Begin Step 65, Time: 0.26322, Redshift: 2.79911, Systemstep: 0.00122988, Dloga: 0.00468339

Begin Step 66, Time: 0.264455, Redshift: 2.78136, Systemstep: 0.00123565, Dloga: 0.00468339

Begin Step 67, Time: 0.265697, Redshift: 2.76369, Systemstep: 0.00124145, Dloga: 0.00468339

Begin Step 68, Time: 0.266944, Redshift: 2.7461, Systemstep: 0.00124728, Dloga: 0.00468339

Begin Step 69, Time: 0.268197, Redshift: 2.7286, Systemstep: 0.00125314, Dloga: 0.00468339

Begin Step 70, Time: 0.269456, Redshift: 2.71118, Systemstep: 0.00125902, Dloga: 0.00468339

Begin Step 71, Time: 0.270721, Redshift: 2.69384, Systemstep: 0.00126493, Dloga: 0.00468339

Begin Step 72, Time: 0.271992, Redshift: 2.67658, Systemstep: 0.00127087, Dloga: 0.00468339

Begin Step 73, Time: 0.273269, Redshift: 2.6594, Systemstep: 0.00127683, Dloga: 0.00468339

Begin Step 74, Time: 0.274552, Redshift: 2.6423, Systemstep: 0.00128283, Dloga: 0.00468339

Begin Step 75, Time: 0.275841, Redshift: 2.62528, Systemstep: 0.00128885, Dloga: 0.00468339

Begin Step 76, Time: 0.277136, Redshift: 2.60834, Systemstep: 0.0012949, Dloga: 0.00468339

Begin Step 77, Time: 0.278437, Redshift: 2.59148, Systemstep: 0.00130098, Dloga: 0.00468339

Begin Step 78, Time: 0.279744, Redshift: 2.5747, Systemstep: 0.00130708, Dloga: 0.00468339

Begin Step 79, Time: 0.281057, Redshift: 2.558, Systemstep: 0.00131322, Dloga: 0.00468339

Begin Step 80, Time: 0.282376, Redshift: 2.54138, Systemstep: 0.00131939, Dloga: 0.00468339

Begin Step 81, Time: 0.283702, Redshift: 2.52483, Systemstep: 0.00132558, Dloga: 0.00468339

Begin Step 82, Time: 0.285034, Redshift: 2.50836, Systemstep: 0.0013318, Dloga: 0.00468339

Begin Step 83, Time: 0.286372, Redshift: 2.49197, Systemstep: 0.00133805, Dloga: 0.00468339

Begin Step 84, Time: 0.287716, Redshift: 2.47565, Systemstep: 0.00134434, Dloga: 0.00468339

Begin Step 85, Time: 0.289067, Redshift: 2.45941, Systemstep: 0.00135065, Dloga: 0.00468339

Begin Step 86, Time: 0.290424, Redshift: 2.44325, Systemstep: 0.00135699, Dloga: 0.00468339

Begin Step 87, Time: 0.291787, Redshift: 2.42716, Systemstep: 0.00136336, Dloga: 0.00468339

Begin Step 88, Time: 0.293157, Redshift: 2.41114, Systemstep: 0.00136976, Dloga: 0.00468339

Begin Step 89, Time: 0.294533, Redshift: 2.39521, Systemstep: 0.00137619, Dloga: 0.00468339

Begin Step 90, Time: 0.295916, Redshift: 2.37934, Systemstep: 0.00138265, Dloga: 0.00468339

Begin Step 91, Time: 0.297305, Redshift: 2.36355, Systemstep: 0.00138914, Dloga: 0.00468339

Begin Step 92, Time: 0.2987, Redshift: 2.34784, Systemstep: 0.00139566, Dloga: 0.00468339

Begin Step 93, Time: 0.300103, Redshift: 2.33219, Systemstep: 0.00140221, Dloga: 0.00468339

Begin Step 94, Time: 0.301511, Redshift: 2.31662, Systemstep: 0.00140879, Dloga: 0.00468339

Begin Step 95, Time: 0.302927, Redshift: 2.30113, Systemstep: 0.00141541, Dloga: 0.00468339

Begin Step 96, Time: 0.304349, Redshift: 2.2857, Systemstep: 0.00142205, Dloga: 0.00468339

Begin Step 97, Time: 0.305778, Redshift: 2.27035, Systemstep: 0.00142873, Dloga: 0.00468339

Begin Step 98, Time: 0.307213, Redshift: 2.25507, Systemstep: 0.00143543, Dloga: 0.00468339

Begin Step 99, Time: 0.308655, Redshift: 2.23986, Systemstep: 0.00144217, Dloga: 0.00468339

Begin Step 100, Time: 0.310104, Redshift: 2.22472, Systemstep: 0.00144894, Dloga: 0.00468339

Begin Step 101, Time: 0.310831, Redshift: 2.21718, Systemstep: 0.00072702, Dloga: 0.00234169

Begin Step 102, Time: 0.31156, Redshift: 2.20966, Systemstep: 0.000728724, Dloga: 0.00234169

Begin Step 103, Time: 0.31229, Redshift: 2.20215, Systemstep: 0.000730433, Dloga: 0.00234169

Begin Step 104, Time: 0.313022, Redshift: 2.19466, Systemstep: 0.000732145, Dloga: 0.00234169

Begin Step 105, Time: 0.313756, Redshift: 2.18719, Systemstep: 0.000733862, Dloga: 0.00234169

Begin Step 106, Time: 0.314492, Redshift: 2.17973, Systemstep: 0.000735582, Dloga: 0.00234169

Begin Step 107, Time: 0.315229, Redshift: 2.1723, Systemstep: 0.000737307, Dloga: 0.00234169

Begin Step 108, Time: 0.315968, Redshift: 2.16488, Systemstep: 0.000739035, Dloga: 0.00234169

Begin Step 109, Time: 0.316709, Redshift: 2.15747, Systemstep: 0.000740768, Dloga: 0.00234169

Begin Step 110, Time: 0.317451, Redshift: 2.15009, Systemstep: 0.000742505, Dloga: 0.00234169

Begin Step 111, Time: 0.318196, Redshift: 2.14272, Systemstep: 0.000744245, Dloga: 0.00234169

Begin Step 112, Time: 0.318942, Redshift: 2.13537, Systemstep: 0.00074599, Dloga: 0.00234169

Begin Step 113, Time: 0.319689, Redshift: 2.12804, Systemstep: 0.000747739, Dloga: 0.00234169

Begin Step 114, Time: 0.320439, Redshift: 2.12072, Systemstep: 0.000749492, Dloga: 0.00234169

Begin Step 115, Time: 0.32119, Redshift: 2.11342, Systemstep: 0.000751249, Dloga: 0.00234169

Begin Step 116, Time: 0.321943, Redshift: 2.10614, Systemstep: 0.000753011, Dloga: 0.00234169

Begin Step 117, Time: 0.322698, Redshift: 2.09887, Systemstep: 0.000754776, Dloga: 0.00234169

Begin Step 118, Time: 0.323455, Redshift: 2.09162, Systemstep: 0.000756546, Dloga: 0.00234169

Begin Step 119, Time: 0.324213, Redshift: 2.08439, Systemstep: 0.000758319, Dloga: 0.00234169

Begin Step 120, Time: 0.324973, Redshift: 2.07718, Systemstep: 0.000760097, Dloga: 0.00234169

Begin Step 121, Time: 0.325735, Redshift: 2.06998, Systemstep: 0.000761879, Dloga: 0.00234169

Begin Step 122, Time: 0.326498, Redshift: 2.0628, Systemstep: 0.000763665, Dloga: 0.00234169

Begin Step 123, Time: 0.327264, Redshift: 2.05564, Systemstep: 0.000765456, Dloga: 0.00234169

Begin Step 124, Time: 0.328031, Redshift: 2.04849, Systemstep: 0.00076725, Dloga: 0.00234169

Begin Step 125, Time: 0.3288, Redshift: 2.04136, Systemstep: 0.000769049, Dloga: 0.00234169

Begin Step 126, Time: 0.329571, Redshift: 2.03425, Systemstep: 0.000770852, Dloga: 0.00234169

Begin Step 127, Time: 0.331118, Redshift: 2.02007, Systemstep: 0.00154713, Dloga: 0.00468339

Begin Step 128, Time: 0.331894, Redshift: 2.01301, Systemstep: 0.000776286, Dloga: 0.00234169

Begin Step 129, Time: 0.332673, Redshift: 2.00596, Systemstep: 0.000778106, Dloga: 0.00234169

Begin Step 130, Time: 0.333453, Redshift: 1.99893, Systemstep: 0.00077993, Dloga: 0.00234169

Begin Step 131, Time: 0.334234, Redshift: 1.99191, Systemstep: 0.000781759, Dloga: 0.00234169

