
Begin Step 0, Time: 0.00909085, Redshift: 109.001, Systemstep: 0, Dloga: 0

Begin Step 1, Time: 0.00925931, Redshift: 106.999, Systemstep: 0.000168461, Dloga: 0.0183613

Begin Step 2, Time: 0.00943089, Redshift: 105.034, Systemstep: 0.000171583, Dloga: 0.0183613

Begin Step 3, Time: 0.00960566, Redshift: 103.105, Systemstep: 0.000174763, Dloga: 0.0183613

Begin Step 4, Time: 0.00978366, Redshift: 101.211, Systemstep: 0.000178001, Dloga: 0.0183613

Begin Step 5, Time: 0.00996496, Redshift: 99.3516, Systemstep: 0.0001813, Dloga: 0.0183613

Begin Step 6, Time: 0.0101496, Redshift: 97.5259, Systemstep: 0.000184659, Dloga: 0.0183613

Begin Step 7, Time: 0.0103377, Redshift: 95.7333, Systemstep: 0.000188081, Dloga: 0.0183613

Begin Step 8, Time: 0.0105293, Redshift: 93.9734, Systemstep: 0.000191567, Dloga: 0.0183613

Begin Step 9, Time: 0.0107244, Redshift: 92.2455, Systemstep: 0.000195117, Dloga: 0.0183613

Begin Step 10, Time: 0.0109231, Redshift: 90.549, Systemstep: 0.000198732, Dloga: 0.0183613

Begin Step 11, Time: 0.0111255, Redshift: 88.8834, Systemstep: 0.000202415, Dloga: 0.0183613

Begin Step 12, Time: 0.0113317, Redshift: 87.248, Systemstep: 0.000206166, Dloga: 0.0183613

Begin Step 13, Time: 0.0115417, Redshift: 85.6425, Systemstep: 0.000209986, Dloga: 0.0183613

Begin Step 14, Time: 0.0117556, Redshift: 84.0661, Systemstep: 0.000213878, Dloga: 0.0183613

Begin Step 15, Time: 0.0119734, Redshift: 82.5185, Systemstep: 0.000217841, Dloga: 0.0183613

Begin Step 16, Time: 0.0121953, Redshift: 80.9989, Systemstep: 0.000221878, Dloga: 0.0183613

Begin Step 17, Time: 0.0124213, Redshift: 79.5071, Systemstep: 0.000225989, Dloga: 0.0183613

Begin Step 18, Time: 0.0126514, Redshift: 78.0424, Systemstep: 0.000230177, Dloga: 0.0183613

Begin Step 19, Time: 0.0128859, Redshift: 76.6043, Systemstep: 0.000234442, Dloga: 0.0183613

Begin Step 20, Time: 0.0131247, Redshift: 75.1924, Systemstep: 0.000238787, Dloga: 0.0183613

Begin Step 21, Time: 0.0133679, Redshift: 73.8061, Systemstep: 0.000243212, Dloga: 0.0183613

Begin Step 22, Time: 0.0136156, Redshift: 72.4451, Systemstep: 0.000247719, Dloga: 0.0183613

Begin Step 23, Time: 0.0138679, Redshift: 71.1089, Systemstep: 0.000252309, Dloga: 0.0183613

